MS_system,Package,Class,Aa,Ad,Ai,Ait,Ao,Av,ClRCi,ClTCi,DIT,HMd,HMi,MHF,MIF,Ma,Md,Mi,Mit,Mo,NF,NM,NMA,NMI,NOA,NOCh,NOD,NOL,NOPa,NORM,NPF,NPM,NSF,NSM,PMR,PMd,PMi,RTLOC,SIX,TLOC,WMC,AHF,AIF,LCOM*,NMIR,PF
train-ticket-0.0.1,org.myproject.ms.monitoring.antn,SleuthInterceptor,5.0,5.0,0.0,0.0,0.0,0.0,1.5,12.0,1.0,5.0,0.0,0.375,0.0,8.0,8.0,0.0,0.0,0.0,5.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.375,3.0,0.0,101.0,0.0,87.0,23.0,0.0,0.0,0.885714286,,
train-ticket-0.0.1,org.myproject.ms.monitoring.antn,SpanTagAnnotationHandler,3.0,3.0,0.0,0.0,0.0,0.0,2.277777778,20.5,1.0,9.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,3.0,8.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,106.0,0.0,83.0,19.0,0.0,0.0,0.916666667,,
train-ticket-0.0.1,org.myproject.ms.monitoring.antn,SpelTagValueExpressionResolver,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,15.0,2.0,13.0,1.0,0.0,0.0,,,
train-ticket-0.0.1,org.myproject.ms.monitoring.antn,TagValueExpressionResolver,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,6.0,0.0,3.0,1.0,,,,,
train-ticket-0.0.1,org.myproject.ms.monitoring.antn,TagValueResolver,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,6.0,0.0,3.0,1.0,,,,,
train-ticket-0.0.1,org.myproject.ms.monitoring.atcfg,SleuthProperties,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,23.0,0.0,16.0,4.0,0.0,0.0,0.666666667,,
train-ticket-0.0.1,org.myproject.ms.monitoring.atcfg,TraceAutoConfiguration,1.0,1.0,0.0,0.0,0.0,1.0,1.583333333,9.5,1.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,6.0,0.0,48.0,0.0,21.0,6.0,1.0,0.0,1.0,,
train-ticket-0.0.1,org.myproject.ms.monitoring.atcfg,TraceEnvironmentPostProcessor,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0,0.0,39.0,0.0,29.0,7.0,0.0,0.0,1.0,,
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.async,ACAtcfg,1.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,27.0,0.0,13.0,3.0,0.0,0.0,1.0,,
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.async,ADAtcfg,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,33.0,0.0,15.0,2.0,0.0,0.0,0.0,,
